model,0,1,2,3,4,5,6,7,8,9
GCN,0.4236787228175059,0.45585577471056876,0.5420980537995428,0.5503886507171822,0.47569860013310666,0.5006848051877237,0.42382253063206243,0.4970498404403003,0.5683252257500234,0.4807466008543664
SAGE,0.5304826225398176,0.5243410752349532,0.5117958235769223,0.5032239313403403,0.5136688582500281,0.5141086227051154,0.500018791806518,0.46288820462753844,0.509488061852377,0.5282973671979478
GAT,0.5557339101899781,0.5465300985078659,0.5369032687314303,0.5456411458486152,0.5203079046298483,0.534815646530825,0.48471457553797603,0.5239052278724867,0.5648183515579897,0.5506544519493698
GPR,0.5651329085304558,0.5711928320106702,0.5789860368919789,0.5599030159616717,0.5707230790326833,0.5852146183569836,0.5667320889036264,0.5704274871081574,0.5794736057892087,0.5619873764649764
GCN,0.4309614655010765,0.4608632240483366,0.5293038292070112,0.5569493215638253,0.48569801122402145,0.4916195343939174,0.4499795579474318,0.5186645604177111,0.5775370457222598,0.5056044553146178
SAGE,0.5222864486485694,0.5257773925101938,0.49145270150957493,0.5074392551302641,0.5059140601083331,0.5042982754557013,0.5165101532141824,0.46371134639845374,0.508205789713496,0.5487202646456938
GAT,0.557447718574798,0.5235494040815772,0.5501616326294115,0.5362579862872194,0.5003403108406069,0.5182106713185414,0.5107149720452399,0.5853568783016022,0.5700668225076138,0.5611105958988573
GPR,0.5686029426603789,0.5754106872919177,0.5722823792549857,0.5559546793353175,0.5708877741143205,0.5804641274389643,0.567968409372108,0.5668354588688413,0.5798498425797792,0.5652016535634619
GCN,0.592418945156135,0.5741154485769782,0.5573546865885598,0.578511968667894,0.5418897597537325,0.5719296174834946,0.5863998441964237,0.5664896343256802,0.5842581542184854,0.5674693407736796
SAGE,0.5528803870649712,0.5380716001284774,0.5362087967033601,0.5367453758517075,0.5455440898074779,0.5393109755802835,0.5611527275030472,0.5504688233434738,0.5536038204647721,0.5540444579176936
GAT,0.5974852913791371,0.6058827731187592,0.6072119720588528,0.5856163745845165,0.5986771563686987,0.613976871783665,0.5946270718953622,0.6195475533785111,0.5775740663048236,0.5721422016293648
GPR,0.5658308248971183,0.5774636370006,0.5784696028980055,0.5604473968193174,0.5665686382671441,0.580883533709771,0.5693164847487068,0.5661267431973886,0.5759607577244371,0.5635933906330713
