model,0,1,2,3,4,5,6,7,8,9
GCN,0.33460773474940025,0.34131627311098267,0.37709167369586666,0.36243855884415627,0.3195773168375056,0.34013623516064345,0.3446035141029779,0.35790020018025287,0.3761740050819209,0.33979568635862695
SAGE,0.31681029036900454,0.34390698956637006,0.3241582168910711,0.35381563263854593,0.3062925461962825,0.32248122143013497,0.31926636274622877,0.2863865665291941,0.29722467563689053,0.30126598066926186
GAT,0.43813529455290356,0.41063289245907303,0.35448745957184236,0.4103215923879768,0.3587765028932761,0.3795102532390566,0.3623416464531577,0.41548236259964977,0.4110481277221509,0.3469966503632668
GPR,0.431079431639714,0.44071938099330915,0.43982068012418846,0.4187629351032523,0.4414642008732927,0.45257035276700036,0.42321039391061815,0.42975491053305875,0.4362499752415558,0.42440563270466214
GCN,0.37591458664755373,0.3933537232495181,0.41434060263710254,0.3977046276259227,0.3873075493637051,0.3877406854031568,0.3498544421653391,0.38410388419755837,0.3730674339590246,0.40273723504114284
SAGE,0.3758145986204536,0.3948828328221284,0.41047544697198485,0.38447379752524347,0.39985989562088653,0.41536529255392535,0.38608151570129956,0.41726961726234696,0.4060945693542312,0.3688459237769817
GAT,0.4123645207153615,0.4073065587601841,0.4013392286137624,0.3969391413505536,0.3782215818739627,0.407610871566816,0.4428075489948422,0.4005199733214216,0.39195225731681904,0.40086195648598605
GPR,0.4341813945869577,0.4484004410497627,0.4527636681900639,0.4378918839652046,0.4442733701292241,0.44690067249535675,0.4395392999126377,0.4465672901240272,0.4457861940798706,0.440912933521072
GCN,0.45485446429769666,0.4611883793749357,0.44473454919251093,0.45860762032778224,0.4623618953212733,0.4471614077403751,0.4551202451701679,0.45241835262756985,0.4535959631061126,0.446869393121039
SAGE,0.4629423163584743,0.45479900430332537,0.45577810172589905,0.43160639588879496,0.4495951576914605,0.44543400245461795,0.4500490940063386,0.4461891152595783,0.4356524691173294,0.4575740038957313
GAT,0.4689239104323983,0.4675451937696938,0.46132370925085975,0.4652171235538883,0.4844598012616757,0.4711344413447048,0.47760299709266735,0.48197342085734923,0.4739219644087987,0.4832528706656805
GPR,0.4347226854941981,0.4492543775763238,0.45204693031499277,0.4389167652125631,0.44623120965441526,0.44557037901651514,0.4321690236341429,0.4479700162577292,0.44265338242784874,0.4423728793467028
optimized Arxiv:GCN,0.4595384553818724,0.4624192087136287,0.45930132145884484,0.4593339533381342,0.4642508402001126,0.4622957996842108,0.4614295419705563,0.45694539456760525,0.46326557107213134,0.4566481346654772
