model,0,1,2,3,4,5,6,7,8,9
GCN,0.6292795245330559,0.6335017398808882,0.6266248167012594,0.6310093459872921,0.6318042156057697,0.6360987449074679,0.6161745946198365,0.6270932772778703,0.6378017955429282,0.6265229790018173
SAGE,0.6273950487950757,0.6238179689689438,0.6232028088203677,0.6263744152769146,0.6286637346112461,0.6264012394130877,0.6244926004751417,0.621949943494309,0.6259192764255797,0.6246197905141211
GAT,0.6175640793031775,0.6097039881392132,0.6223160071592564,0.6073158200269128,0.6224519508571585,0.5981147717835242,0.6081957872118617,0.6019934836733383,0.6145906649852655,0.5859501292982928
GPR,0.6232179645258935,0.6198708134985044,0.6186689035892353,0.6178481782345537,0.6169015357952332,0.6187709976241298,0.6168614908337752,0.6169853599290736,0.6181004105439588,0.6188665581624322
GCN,0.629455918519311,0.6335978114419455,0.6269837936091242,0.6308778486310653,0.6319420610024918,0.636123208738396,0.6162190742204721,0.6269641203365391,0.6378954504027502,0.626752825501681
SAGE,0.6274037694301215,0.6237852963756219,0.6231780271711436,0.6263573634146755,0.6286823553493874,0.6264148500793697,0.6244630599243691,0.6219419994693889,0.6258333929377146,0.6245758306901761
GAT,0.6175692233228538,0.6097141718808954,0.6222950903536768,0.607291583237212,0.622441003061639,0.5980863610125076,0.6081823661939627,0.6020043107384859,0.6145670238229719,0.5859107904446548
GPR,0.6232180192323439,0.6198708034803615,0.6186689035892352,0.6178481982708395,0.616901545813376,0.6187709528982104,0.616861503178592,0.6169853599290736,0.6181004105439588,0.6188666451229675
GCN,,,,,,,,,,
SAGE,,,,,,,,,,
GAT,,,,,,,,,,
GPR,,,,,,,,,,
