model,0,1,2,3,4,5,6,7,8,9
GCN,0.6053279252977869,0.607314318321202,0.6085406136977773,0.6143995565329263,0.6099140444128519,0.6095015684064975,0.6025509910891339,0.610307188074433,0.60943104655601,0.6031554193304934
SAGE,0.618197015134859,0.6162150518789342,0.6128433612125465,0.6145082723596917,0.6179745765459181,0.6160427797585576,0.6164508659916834,0.6144512490330296,0.6158168608009476,0.612289902091109
GAT,0.6009069255309586,0.5853033978503387,0.6006740568520786,0.5984453809728489,0.6055603145117703,0.5643333899583135,0.6005936190607251,0.5912314678284606,0.5974077711871395,0.5839367262807105
GPR,0.6164291724527449,0.6119511753360178,0.6102361511060661,0.6078965895396504,0.6158444990845051,0.6066141368480626,0.6039763988178267,0.6045219697012374,0.608393977809546,0.6068576264172093
GCN,0.5834872360932152,0.6083386677771758,0.6045419741721256,0.609202370854022,0.6096129873635872,0.6022326436454054,0.6056662775636364,0.6031103546289658,0.5985251818049249,0.6104493757034158
SAGE,0.6215395052299469,0.6190314056724343,0.6205193156176515,0.6208448471959023,0.6209233632378734,0.6209773553749406,0.6205978920353676,0.619114762614887,0.6200030498105258,0.6202472571587647
GAT,0.5542039708533041,0.5865929272340853,0.6010641789771347,0.556719604189915,0.5956005104834643,0.5586309195118926,0.5804620126121192,0.5756042051297816,0.58981373922075,0.5924646049212917
GPR,0.6055424467822963,0.6043026314755506,0.6039156057267653,0.6001999040566837,0.5956557045658064,0.5941799671672202,0.5921972438939062,0.6059352645161943,0.5938490033010208,0.5929840788202532
GCN,,,,,,,,,,
SAGE,,,,,,,,,,
GAT,,,,,,,,,,
GPR,,,,,,,,,,
